fips,countyName,date,cases,deaths,cases7dayavg,deaths7dayavg,casesper100K,deathsper100K
01003,Baldwin,2020-03-17,1,0,0,0,0,0
01051,Elmore,2020-03-17,2,0,0,0,0,0
01073,Jefferson,2020-03-17,21,0,0,0,0,0
01081,Lee,2020-03-17,3,0,0,0,0,0
01083,Limestone,2020-03-17,1,0,0,0,0,0
01089,Madison,2020-03-17,1,0,0,0,0,0
01101,Montgomery,2020-03-17,2,0,0,0,0,0
01115,St. Clair,2020-03-17,1,0,0,0,0,0
01117,Shelby,2020-03-17,4,0,0,0,0,0
01125,Tuscaloosa,2020-03-17,3,0,0,0,0,0
02020,Anchorage,2020-03-17,2,0,0,0,0,0
02090,Fairbanks North Star Borough,2020-03-17,3,0,0,0,0,0
02130,Ketchikan Gateway Borough,2020-03-17,1,0,0,0,0,0
04009,Graham,2020-03-17,1,0,0,0,0,0
04013,Maricopa,2020-03-17,9,0,1,0,0.022294486083113,0
04017,Navajo,2020-03-17,1,0,0,0,0,0
04019,Pima,2020-03-17,4,0,0.428571428571429,0,0.0409223739396501,0
04021,Pinal,2020-03-17,5,0,0.285714285714286,0,0.0617374841913455,0
05023,Cleburne,2020-03-17,1,0,0,0,0,0
05025,Cleveland,2020-03-17,1,0,0,0,0,0
05041,Desha,2020-03-17,1,0,0,0,0,0
05051,Garland,2020-03-17,2,0,0,0,0,0
05069,Jefferson,2020-03-17,5,0,0,0,0,0
05079,Lincoln,2020-03-17,1,0,0,0,0,0
05119,Pulaski,2020-03-17,10,0,0,0,0,0
05125,Saline,2020-03-17,1,0,0,0,0,0
06001,Alameda,2020-03-17,49,0,3.42857142857143,0,0.20514042588691,0
06013,Contra Costa,2020-03-17,34,0,3.57142857142857,0,0.309609715899648,0
06019,Fresno,2020-03-17,2,0,0.142857142857143,0,0.0142985686989747,0
06023,Humboldt,2020-03-17,1,0,0,0,0,0
06029,Kern,2020-03-17,1,0,0,0,0,0
06037,Los Angeles,2020-03-17,144,1,17.7142857142857,0.142857142857143,0.176452803165518,0.00142300647714127
06039,Madera,2020-03-17,1,0,0,0,0,0
06041,Marin,2020-03-17,4,0,0.285714285714286,0,0.11038855668066,0
06053,Monterey,2020-03-17,2,0,0,0,0,0
06055,Napa,2020-03-17,1,0,0,0,0,0
06057,Nevada,2020-03-17,1,0,0,0,0,0
06059,Orange,2020-03-17,29,0,3.42857142857143,0,0.107962970860254,0
06061,Placer,2020-03-17,8,1,0.142857142857143,0,0.0358641080255625,0
06065,Riverside,2020-03-17,16,3,1.71428571428571,0.428571428571429,0.0693889413225139,0.0173472353306285
06067,Sacramento,2020-03-17,39,2,4.28571428571429,0.142857142857143,0.276131065057768,0.00920436883525892
06069,San Benito,2020-03-17,2,1,0,0,0,0
06071,San Bernardino,2020-03-17,3,0,0,0,0,0
06073,San Diego,2020-03-17,61,0,8.42857142857143,0,0.25247867731984,0
06075,San Francisco,2020-03-17,46,0,4.14285714285714,0,0.469951998454668,0
06077,San Joaquin,2020-03-17,13,0,1.71428571428571,0,0.224928191674808,0
06079,San Luis Obispo,2020-03-17,6,0,0,0,0,0
06081,San Mateo,2020-03-17,64,1,7.85714285714286,0.142857142857143,1.02496994508584,0.0186358171833789
06083,Santa Barbara,2020-03-17,2,0,0,0,0,0
06085,Santa Clara,2020-03-17,155,5,15.7142857142857,0.571428571428571,0.815118884348265,0.0296406867035733
06087,Santa Cruz,2020-03-17,2,0,0,0,0,0
06089,Shasta,2020-03-17,1,0,0,0,0,0
06095,Solano,2020-03-17,15,0,0.428571428571429,0,0.0957395577662174,0
06097,Sonoma,2020-03-17,9,0,0.857142857142857,0,0.173392764666716,0
06099,Stanislaus,2020-03-17,4,0,0,0,0,0
06107,Tulare,2020-03-17,3,0,0,0,0,0
06111,Ventura,2020-03-17,10,0,1.28571428571429,0,0.151974606056492,0
06113,Yolo,2020-03-17,4,0,0.428571428571429,0,0.194363459669582,0
08001,Adams,2020-03-17,10,0,0,0,0,0
08005,Arapahoe,2020-03-17,18,0,2.28571428571429,0,0.348118960951931,0
08013,Boulder,2020-03-17,8,0,0,0,0,0
08019,Clear Creek,2020-03-17,2,0,0,0,0,0
08031,Denver,2020-03-17,41,0,5.28571428571429,0,0.726847405459253,0
08035,Douglas,2020-03-17,9,0,0.857142857142857,0,0.24409314920031,0
08037,Eagle,2020-03-17,34,0,4.42857142857143,0,8.03339820518336,0
08041,El Paso,2020-03-17,6,2,0.714285714285714,0.285714285714286,0.0991508522709809,0.0396603409083923
08045,Garfield,2020-03-17,2,0,0,0,0,0
08051,Gunnison,2020-03-17,11,0,1.42857142857143,0,8.18102982803475,0
08059,Jefferson,2020-03-17,17,0,2.14285714285714,0,0.36763201114072,0
08069,Larimer,2020-03-17,2,0,0.142857142857143,0,0.0400273306613756,0
08077,Mesa,2020-03-17,1,0,0,0,0,0
08097,Pitkin,2020-03-17,11,0,0,0,0,0
08101,Pueblo,2020-03-17,1,0,0,0,0,0
08107,Routt,2020-03-17,2,0,0,0,0,0
08117,Summit,2020-03-17,3,0,0,0,0,0
08123,Weld,2020-03-17,5,1,0,0,0,0
09001,Fairfield,2020-03-17,48,0,6.57142857142857,0,0.696618854383035,0
09003,Hartford,2020-03-17,7,0,0,0,0,0
