fips,countyName,date,cases,deaths,cases7dayavg,deaths7dayavg,casesper100K,deathsper100K
01003,Baldwin,2020-03-15,1,0,0,0,0,0
01051,Elmore,2020-03-15,1,0,0,0,0,0
01073,Jefferson,2020-03-15,13,0,0,0,0,0
01081,Lee,2020-03-15,1,0,0,0,0,0
01083,Limestone,2020-03-15,1,0,0,0,0,0
01101,Montgomery,2020-03-15,1,0,0,0,0,0
01117,Shelby,2020-03-15,2,0,0,0,0,0
01125,Tuscaloosa,2020-03-15,3,0,0,0,0,0
02020,Anchorage,2020-03-15,1,0,0,0,0,0
04009,Graham,2020-03-15,1,0,0,0,0,0
04013,Maricopa,2020-03-15,4,0,0.285714285714286,0,0.0063698531666037,0
04019,Pima,2020-03-15,3,0,0,0,0,0
04021,Pinal,2020-03-15,5,0,0.285714285714286,0,0.0617374841913455,0
05051,Garland,2020-03-15,2,0,0,0,0,0
05069,Jefferson,2020-03-15,5,0,0,0,0,0
05119,Pulaski,2020-03-15,8,0,0,0,0,0
05125,Saline,2020-03-15,1,0,0,0,0,0
06001,Alameda,2020-03-15,37,0,4.85714285714286,0,0.290615603339789,0
06013,Contra Costa,2020-03-15,25,0,2.28571428571429,0,0.198150218175775,0
06019,Fresno,2020-03-15,2,0,0.142857142857143,0,0.0142985686989747,0
06023,Humboldt,2020-03-15,1,0,0,0,0,0
06037,Los Angeles,2020-03-15,69,1,7.85714285714286,0.142857142857143,0.07826535624277,0.00142300647714127
06039,Madera,2020-03-15,1,0,0,0,0,0
06041,Marin,2020-03-15,4,0,0.428571428571429,0,0.16558283502099,0
06055,Napa,2020-03-15,1,0,0,0,0,0
06059,Orange,2020-03-15,17,0,2,0,0.0629783996684817,0
06061,Placer,2020-03-15,8,1,0.142857142857143,0,0.0358641080255625,0
06065,Riverside,2020-03-15,12,0,1.57142857142857,0,0.0636065295456377,0
06067,Sacramento,2020-03-15,32,1,4.14285714285714,0.142857142857143,0.266926696222509,0.00920436883525892
06069,San Benito,2020-03-15,1,0,0,0,0,0
06071,San Bernardino,2020-03-15,1,0,0,0,0,0
06073,San Diego,2020-03-15,40,0,5.57142857142857,0,0.16689268500803,0
06075,San Francisco,2020-03-15,37,0,3.71428571428571,0,0.421336274476599,0
06077,San Joaquin,2020-03-15,8,0,0,0,0,0
06079,San Luis Obispo,2020-03-15,2,0,0,0,0,0
06081,San Mateo,2020-03-15,32,1,4.42857142857143,0.142857142857143,0.577710332684745,0.0186358171833789
06083,Santa Barbara,2020-03-15,1,0,0,0,0,0
06085,Santa Clara,2020-03-15,114,2,11,0.285714285714286,0.570583219043786,0.0148203433517866
06087,Santa Cruz,2020-03-15,2,0,0.142857142857143,0,0.0522878277597123,0
06089,Shasta,2020-03-15,1,0,0,0,0,0
06095,Solano,2020-03-15,13,0,0.142857142857143,0,0.0319131859220725,0
06097,Sonoma,2020-03-15,5,0,0.285714285714286,0,0.0577975882222387,0
06099,Stanislaus,2020-03-15,2,0,0,0,0,0
06107,Tulare,2020-03-15,3,0,0,0,0,0
06111,Ventura,2020-03-15,5,0,0,0,0,0
06113,Yolo,2020-03-15,2,0,0.142857142857143,0,0.0647878198898607,0
08001,Adams,2020-03-15,6,0,0,0,0,0
08005,Arapahoe,2020-03-15,15,0,0,0,0,0
08013,Boulder,2020-03-15,7,0,0,0,0,0
08019,Clear Creek,2020-03-15,1,0,0,0,0,0
08031,Denver,2020-03-15,28,0,3.71428571428571,0,0.510757636268664,0
08035,Douglas,2020-03-15,8,0,0.714285714285714,0,0.203410957666925,0
08037,Eagle,2020-03-15,24,0,3.28571428571429,0,5.96026318449088,0
08041,El Paso,2020-03-15,4,2,0.428571428571429,0.285714285714286,0.0594905113625885,0.0396603409083923
08045,Garfield,2020-03-15,1,0,0,0,0,0
08051,Gunnison,2020-03-15,9,0,0,0,0,0
08059,Jefferson,2020-03-15,12,0,1.57142857142857,0,0.269596808169862,0
08069,Larimer,2020-03-15,1,0,0,0,0,0
08077,Mesa,2020-03-15,1,0,0,0,0,0
08097,Pitkin,2020-03-15,11,0,0,0,0,0
08101,Pueblo,2020-03-15,1,0,0,0,0,0
08107,Routt,2020-03-15,1,0,0,0,0,0
08117,Summit,2020-03-15,2,0,0,0,0,0
08123,Weld,2020-03-15,4,0,0,0,0,0
09001,Fairfield,2020-03-15,16,0,2.14285714285714,0,0.227158322081424,0
09003,Hartford,2020-03-15,3,0,0,0,0,0
09005,Litchfield,2020-03-15,4,0,0,0,0,0
09009,New Haven,2020-03-15,3,0,0,0,0,0
10003,New Castle,2020-03-15,7,0,0,0,0,0
11001,District of Columbia,2020-03-15,17,0,2.28571428571429,0,0.323870708384183,0
12001,Alachua,2020-03-15,4,0,0,0,0,0
12003,Baker,2020-03-15,1,0,0,0,0,0
12011,Broward,2020-03-15,37,0,4.85714285714286,0,0.248729904635491,0
