fips,countyName,date,cases,deaths,cases7dayavg,deaths7dayavg,casesper100K,deathsper100K
04013,Maricopa,2020-03-10,2,0,0,0,0,0
04019,Pima,2020-03-10,1,0,0,0,0,0
04021,Pinal,2020-03-10,3,0,0,0,0,0
06001,Alameda,2020-03-10,25,0,3.28571428571429,0,0.196592908141622,0
06013,Contra Costa,2020-03-10,9,0,1.14285714285714,0,0.0990751090878873,0
06019,Fresno,2020-03-10,1,0,0,0,0,0
06023,Humboldt,2020-03-10,1,0,0,0,0,0
06037,Los Angeles,2020-03-10,20,0,2.71428571428571,0,0.0270371230656842,0
06039,Madera,2020-03-10,1,0,0,0,0,0
06041,Marin,2020-03-10,2,0,0.142857142857143,0,0.0551942783403301,0
06055,Napa,2020-03-10,1,0,0,0,0,0
06059,Orange,2020-03-10,5,0,0.285714285714286,0,0.00899691423835453,0
06061,Placer,2020-03-10,7,1,0.714285714285714,0.142857142857143,0.179320540127813,0.0358641080255625
06065,Riverside,2020-03-10,4,0,0,0,0,0
06067,Sacramento,2020-03-10,9,1,0.857142857142857,0.142857142857143,0.0552262130115535,0.00920436883525892
06073,San Diego,2020-03-10,2,0,0.142857142857143,0,0.00427929961559052,0
06075,San Francisco,2020-03-10,17,0,2,0,0.226873378564323,0
06077,San Joaquin,2020-03-10,1,0,0,0,0,0
06081,San Mateo,2020-03-10,9,0,1.14285714285714,0,0.149086537467031,0
06085,Santa Clara,2020-03-10,45,1,4.85714285714286,0.142857142857143,0.251945836980373,0.00741017167589332
06087,Santa Cruz,2020-03-10,2,0,0,0,0,0
06089,Shasta,2020-03-10,1,0,0,0,0,0
06095,Solano,2020-03-10,12,0,0,0,0,0
06097,Sonoma,2020-03-10,3,0,0.142857142857143,0,0.0288987941111193,0
06111,Ventura,2020-03-10,1,0,0,0,0,0
06113,Yolo,2020-03-10,1,0,0,0,0,0
08005,Arapahoe,2020-03-10,2,0,0,0,0,0
08031,Denver,2020-03-10,4,0,0,0,0,0
08035,Douglas,2020-03-10,3,0,0,0,0,0
08037,Eagle,2020-03-10,3,0,0,0,0,0
08041,El Paso,2020-03-10,1,0,0,0,0,0
08051,Gunnison,2020-03-10,1,0,0,0,0,0
08059,Jefferson,2020-03-10,2,0,0,0,0,0
08069,Larimer,2020-03-10,1,0,0,0,0,0
09001,Fairfield,2020-03-10,2,0,0,0,0,0
11001,District of Columbia,2020-03-10,4,0,0,0,0,0
12001,Alachua,2020-03-10,1,0,0,0,0,0
12011,Broward,2020-03-10,4,0,0,0,0,0
12015,Charlotte,2020-03-10,1,0,0,0,0,0
12021,Collier,2020-03-10,3,0,0,0,0,0
12057,Hillsborough,2020-03-10,2,0,0,0,0,0
12071,Lee,2020-03-10,2,1,0,0,0,0
12081,Manatee,2020-03-10,2,0,0.142857142857143,0,0.035426182286838,0
12089,Nassau,2020-03-10,1,0,0,0,0,0
12091,Okaloosa,2020-03-10,1,0,0,0,0,0
12101,Pasco,2020-03-10,1,0,0,0,0,0
12103,Pinellas,2020-03-10,2,0,0,0,0,0
12113,Santa Rosa,2020-03-10,1,1,0,0,0,0
12127,Volusia,2020-03-10,2,0,0,0,0,0
13049,Charlton,2020-03-10,1,0,0,0,0,0
13057,Cherokee,2020-03-10,1,0,0,0,0,0
13067,Cobb,2020-03-10,7,0,0,0,0,0
13089,DeKalb,2020-03-10,2,0,0,0,0,0
13113,Fayette,2020-03-10,1,0,0,0,0,0
13115,Floyd,2020-03-10,1,0,0,0,0,0
13121,Fulton,2020-03-10,6,0,0.571428571428571,0,0.0537088729340714,0
13135,Gwinnett,2020-03-10,2,0,0,0,0,0
13233,Polk,2020-03-10,1,0,0,0,0,0
15003,Honolulu,2020-03-10,2,0,0,0,0,0
17031,Cook,2020-03-10,17,0,1.85714285714286,0,0.0360593949272364,0
17089,Kane,2020-03-10,1,0,0,0,0,0
17111,McHenry,2020-03-10,1,0,0,0,0,0
18001,Adams,2020-03-10,1,0,0,0,0,0
18011,Boone,2020-03-10,1,0,0,0,0,0
18063,Hendricks,2020-03-10,2,0,0,0,0,0
18097,Marion,2020-03-10,1,0,0,0,0,0
18113,Noble,2020-03-10,1,0,0,0,0,0
19103,Johnson,2020-03-10,12,0,0,0,0,0
19155,Pottawattamie,2020-03-10,1,0,0,0,0,0
20091,Johnson,2020-03-10,1,0,0,0,0,0
21067,Fayette,2020-03-10,3,0,0,0,0,0
21097,Harrison,2020-03-10,3,0,0,0,0,0
21111,Jefferson,2020-03-10,1,0,0,0,0,0
22051,Jefferson,2020-03-10,1,0,0,0,0,0
22071,Orleans,2020-03-10,5,0,0,0,0,0
24025,Harford,2020-03-10,1,0,0,0,0,0
24031,Montgomery,2020-03-10,5,0,0,0,0,0
24033,Prince George's,2020-03-10,3,0,0,0,0,0
25003,Berkshire,2020-03-10,7,0,0,0,0,0
25009,Essex,2020-03-10,1,0,0,0,0,0
25017,Middlesex,2020-03-10,41,0,0,0,0,0
25021,Norfolk,2020-03-10,22,0,3,0,0.424463230872626,0
25025,Suffolk,2020-03-10,20,0,2.71428571428571,0,0.337636780658175,0
25027,Worcester,2020-03-10,1,0,0,0,0,0
26125,Oakland,2020-03-10,1,0,0,0,0,0
